DATE,DailyAverageDryBulbTemperature,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature
2015-06-15T23:59:00,67,71,63
2015-06-16T23:59:00,66,69,63
2015-06-17T23:59:00,65,69,60
2015-06-18T23:59:00,66,71,60
2015-06-19T23:59:00,66,73,59
2015-06-20T23:59:00,68,74,61
2015-06-21T23:59:00,68,72,63
2015-06-22T23:59:00,69,74,64
2015-06-23T23:59:00,69,75,63
2015-06-24T23:59:00,68,74,62
2015-06-25T23:59:00,69,73,65
2015-06-26T23:59:00,70,74,66
2015-06-27T23:59:00,68,71,65
2015-06-28T23:59:00,71,75,67
2015-06-29T23:59:00,71,75,67
2015-06-30T23:59:00,78,89,66
2015-07-01T23:59:00,73,77,69
2015-07-02T23:59:00,74,80,67
2015-07-03T23:59:00,70,73,66
2015-07-04T23:59:00,68,71,65
2015-07-05T23:59:00,67,69,64
2015-07-06T23:59:00,67,70,64
2015-07-07T23:59:00,67,69,64
2015-07-08T23:59:00,68,72,64
2015-07-09T23:59:00,68,71,65
2015-07-10T23:59:00,69,73,65
2015-07-11T23:59:00,68,72,64
2015-07-12T23:59:00,68,73,63
2015-07-13T23:59:00,69,74,63
2015-07-14T23:59:00,69,72,66
2015-07-15T23:59:00,69,73,65
2015-07-16T23:59:00,69,73,65
2015-07-17T23:59:00,70,74,65
2015-07-18T23:59:00,74,83,65
2015-07-19T23:59:00,79,84,73
2015-07-20T23:59:00,74,78,70
2015-07-21T23:59:00,72,76,68
2015-07-22T23:59:00,74,77,71
2015-07-23T23:59:00,73,77,69
2015-07-24T23:59:00,73,77,68
2015-07-25T23:59:00,73,80,66
2015-07-26T23:59:00,71,76,66
2015-07-27T23:59:00,70,73,66
2015-07-28T23:59:00,69,74,63
2015-07-29T23:59:00,71,75,67
2015-07-30T23:59:00,73,77,69
2015-07-31T23:59:00,73,77,69
2015-08-01T23:59:00,71,74,68
2015-08-02T23:59:00,71,75,67
2015-08-03T23:59:00,72,76,68
2015-08-04T23:59:00,74,79,68
2015-08-05T23:59:00,75,82,67
2015-08-06T23:59:00,72,76,68
2015-08-07T23:59:00,70,73,67
2015-08-08T23:59:00,71,75,67
2015-08-09T23:59:00,70,73,67
2015-08-10T23:59:00,70,74,66
2015-08-11T23:59:00,71,74,67
2015-08-12T23:59:00,71,77,64
2015-08-13T23:59:00,74,80,68
2015-08-14T23:59:00,75,81,68
2015-08-15T23:59:00,77,84,69
2015-08-16T23:59:00,78,87,68
2015-08-17T23:59:00,74,78,70
2015-08-18T23:59:00,73,77,69
2015-08-19T23:59:00,72,75,68
2015-08-20T23:59:00,71,74,67
2015-08-21T23:59:00,71,74,67
2015-08-22T23:59:00,72,76,68
2015-08-23T23:59:00,71,75,67
2015-08-24T23:59:00,72,75,68
2015-08-25T23:59:00,77,86,68
2015-08-26T23:59:00,77,83,70
2015-08-27T23:59:00,78,86,70
2015-08-28T23:59:00,80,89,71
2015-08-29T23:59:00,77,84,70
2015-08-30T23:59:00,75,80,69
2015-08-31T23:59:00,72,76,68
2015-09-01T23:59:00,72,75,68
2015-09-02T23:59:00,70,73,67
2015-09-03T23:59:00,70,73,66
2015-09-04T23:59:00,70,73,67
2015-09-05T23:59:00,71,76,66
2015-09-06T23:59:00,72,80,64
2015-09-07T23:59:00,76,83,69
2015-09-08T23:59:00,79,86,72
2015-09-09T23:59:00,83,92,74
2015-09-10T23:59:00,86,94,78
2015-09-11T23:59:00,81,86,75
2015-09-12T23:59:00,82,88,75
2015-09-13T23:59:00,77,82,72
2015-09-14T23:59:00,76,80,71
2015-09-15T23:59:00,72,75,68
2015-09-16T23:59:00,70,74,66
2015-09-17T23:59:00,70,76,63
2015-09-18T23:59:00,72,78,65
2015-09-19T23:59:00,73,80,66
2015-09-20T23:59:00,80,89,70
2015-09-21T23:59:00,75,79,71
2015-09-22T23:59:00,74,79,69
2015-09-23T23:59:00,73,79,66
2015-09-24T23:59:00,75,80,69
2015-09-25T23:59:00,76,83,68
2015-09-26T23:59:00,75,82,68
2015-09-27T23:59:00,73,79,66
2015-09-28T23:59:00,73,80,65
2015-09-29T23:59:00,72,78,65
2015-09-30T23:59:00,73,81,64
2015-10-01T23:59:00,73,80,66
2015-10-02T23:59:00,71,76,65
2015-10-03T23:59:00,70,75,64
2015-10-04T23:59:00,66,70,62
2015-10-05T23:59:00,66,71,61
2015-10-06T23:59:00,67,74,60
2015-10-07T23:59:00,70,76,63
2015-10-08T23:59:00,72,80,64
2015-10-09T23:59:00,80,92,67
2015-10-10T23:59:00,87,100,74
2015-10-11T23:59:00,80,90,70
2015-10-12T23:59:00,83,93,72
2015-10-13T23:59:00,78,82,73
2015-10-14T23:59:00,77,82,71
2015-10-15T23:59:00,73,75,71
2015-10-16T23:59:00,71,73,69
2015-10-17T23:59:00,73,76,70
2015-10-18T23:59:00,71,74,68
2015-10-19T23:59:00,68,73,63
